"PARTYNUMBER";"LOCATIONID";"VALIDFROM";"ISPRIMARY";"VALIDTO";"ZIPCODE"
"000000001";"000000001";"2024-08-27 11:00:14";"Yes";"2154-12-31 23:59:59";""
"000000003";"000003197";"2025-10-09 15:29:10";"Yes";"2154-12-31 23:59:59";"8820"
"000000004";"000003191";"2024-08-27 13:57:54";"Yes";"2154-12-31 23:59:59";"8540"
"000000005";"000003198";"2024-08-27 13:57:54";"Yes";"2154-12-31 23:59:59";"40129"
"000000006";"000002891";"2024-08-27 13:57:55";"Yes";"2154-12-31 23:59:59";"8860"
"000000007";"000003192";"2024-08-27 13:57:55";"Yes";"2154-12-31 23:59:59";"6060"
"000000008";"000001001";"2024-08-27 14:03:50";"No";"2154-12-31 23:59:59";"9000"
"000000008";"000002895";"2024-08-27 13:57:55";"Yes";"2154-12-31 23:59:59";"4000"
"000000009";"000001201";"2024-08-27 14:03:50";"No";"2154-12-31 23:59:59";"13002"
"000000009";"000001202";"2024-08-27 14:03:50";"No";"2154-12-31 23:59:59";"3514 JA"
"000000009";"000002898";"2024-08-27 13:57:56";"Yes";"2154-12-31 23:59:59";"8500"
"000000010";"000001203";"2024-08-27 14:03:51";"No";"2154-12-31 23:59:59";"1000"
"000000010";"000002900";"2024-08-27 13:57:56";"Yes";"2154-12-31 23:59:59";"56040"
"000000011";"000002902";"2024-08-27 13:57:57";"Yes";"2154-12-31 23:59:59";"2000"
"000000012";"000002904";"2024-08-27 13:57:57";"Yes";"2154-12-31 23:59:59";"8800"
"000000013";"000002906";"2024-08-27 13:57:57";"Yes";"2154-12-31 23:59:59";"59000"
"000000014";"000003203";"2024-08-27 13:57:58";"Yes";"2154-12-31 23:59:59";"30159"
"000000015";"000002910";"2024-08-27 13:57:58";"Yes";"2154-12-31 23:59:59";"3500 AP"
"000000016";"000002915";"2024-08-27 13:57:58";"Yes";"2154-12-31 23:59:59";"70173"
"000000017";"000002917";"2024-08-27 13:57:59";"Yes";"2154-12-31 23:59:59";"36100"
"000000018";"000002919";"2024-08-27 13:57:59";"Yes";"2154-12-31 23:59:59";"80000"
"000000019";"000002921";"2024-08-27 13:58:00";"Yes";"2154-12-31 23:59:59";"3860 BC"
"000000020";"000002923";"2024-08-27 13:58:00";"Yes";"2154-12-31 23:59:59";"2920"
"000000021";"000003199";"2024-08-27 13:58:00";"Yes";"2154-12-31 23:59:59";"17000"
"000000022";"000000904";"2024-08-27 14:03:52";"No";"2154-12-31 23:59:59";"2400"
"000000022";"000000905";"2024-08-27 14:03:52";"No";"2154-12-31 23:59:59";"9000"
"000000022";"000003200";"2024-08-27 13:58:01";"Yes";"2154-12-31 23:59:59";"L8008"
"000000023";"000003201";"2024-08-27 13:58:01";"Yes";"2154-12-31 23:59:59";"8531"
"000000024";"000003202";"2024-08-27 13:58:01";"Yes";"2154-12-31 23:59:59";"5025 VD"
"000000062";"000003204";"2024-08-27 13:58:02";"Yes";"2154-12-31 23:59:59";"61200"
"000000063";"000003205";"2024-08-27 13:58:02";"Yes";"2154-12-31 23:59:59";"64140"
"000000064";"000003206";"2024-08-27 13:58:02";"Yes";"2154-12-31 23:59:59";"69003"
"000000065";"000003207";"2024-08-27 13:58:03";"Yes";"2154-12-31 23:59:59";"38430"
"000000066";"000003208";"2024-08-27 13:58:03";"Yes";"2154-12-31 23:59:59";"62223"
"000000067";"000003209";"2024-08-27 13:58:04";"Yes";"2154-12-31 23:59:59";"40200"
"000000068";"000003210";"2024-08-27 13:58:04";"Yes";"2154-12-31 23:59:59";"91140"
"000000069";"000003211";"2024-08-27 13:58:04";"Yes";"2154-12-31 23:59:59";"31770"
"000000070";"000003212";"2024-08-27 13:58:05";"Yes";"2154-12-31 23:59:59";"56100"
"000000071";"000003213";"2024-08-27 13:58:05";"Yes";"2154-12-31 23:59:59";"69003"
"000000072";"000003214";"2024-08-27 13:58:05";"Yes";"2154-12-31 23:59:59";"83000"
"000000073";"000003215";"2024-08-27 13:58:06";"Yes";"2154-12-31 23:59:59";"75008"
"000000075";"000003216";"2024-08-27 13:58:06";"Yes";"2154-12-31 23:59:59";"39001"
"000000076";"000003217";"2024-08-27 13:58:06";"Yes";"2154-12-31 23:59:59";"30001"
"000000201";"000000201";"2018-04-06 11:10:18";"Yes";"2154-12-31 23:59:59";"9000"
"000000201";"000003198";"2024-08-27 13:57:54";"No";"2154-12-31 23:59:59";"40129"
"000000203";"000000204";"2018-04-06 11:18:58";"Yes";"2154-12-31 23:59:59";"1000"
"000000203";"000002895";"2024-08-27 13:57:55";"No";"2154-12-31 23:59:59";"4000"
"000000204";"000000206";"2018-04-06 11:24:41";"Yes";"2154-12-31 23:59:59";"8000"
"000000204";"000000208";"2010-03-30 10:46:14";"No";"2154-12-31 23:59:59";""
"000000204";"000002898";"2024-08-27 13:57:56";"No";"2154-12-31 23:59:59";"8500"
"000000205";"000000209";"2018-04-06 11:26:58";"Yes";"2154-12-31 23:59:59";"2300"
"000000205";"000002900";"2024-08-27 13:57:56";"No";"2154-12-31 23:59:59";"56040"
"000000302";"000000304";"2024-08-29 04:39:08";"Yes";"2154-12-31 23:59:59";"2830"
"000000305";"000000306";"2024-08-29 04:39:12";"Yes";"2154-12-31 23:59:59";"9140"
"000000400";"000005000";"2024-08-27 13:58:07";"Yes";"2154-12-31 23:59:59";"2400"
"000000401";"000005001";"2024-08-27 13:58:07";"Yes";"2154-12-31 23:59:59";"40699"
"000000402";"000005002";"2024-08-27 13:58:07";"Yes";"2154-12-31 23:59:59";"35014"
"000000403";"000005003";"2024-08-27 13:42:48";"Yes";"2154-12-31 23:59:59";""
"000000404";"000005004";"2024-08-27 13:58:08";"Yes";"2154-12-31 23:59:59";"9150"
"000000405";"000005005";"2024-08-27 13:58:08";"Yes";"2154-12-31 23:59:59";"9860"
"000000406";"000005006";"2024-08-27 13:58:09";"Yes";"2154-12-31 23:59:59";"8560"
"000000407";"000005007";"2024-08-27 13:42:50";"Yes";"2154-12-31 23:59:59";""
"000000408";"000005008";"2024-08-27 13:58:09";"Yes";"2154-12-31 23:59:59";"3090"
"000000409";"000005009";"2024-08-27 13:58:10";"Yes";"2154-12-31 23:59:59";"2600"
"000000410";"000005010";"2024-08-27 13:58:10";"Yes";"2154-12-31 23:59:59";"28277"
"000000411";"000005011";"2024-08-27 13:58:10";"Yes";"2154-12-31 23:59:59";"9600 AC"
"000000412";"000005012";"2024-08-27 13:58:11";"Yes";"2154-12-31 23:59:59";"8930"
"000000413";"000005013";"2024-08-27 13:58:11";"Yes";"2154-12-31 23:59:59";"3191"
"000000414";"000005014";"2024-08-27 13:58:11";"Yes";"2154-12-31 23:59:59";"8930"
"000000415";"000005015";"2024-08-27 13:58:12";"Yes";"2154-12-31 23:59:59";"8880"
"000000416";"000005016";"2024-08-27 13:58:12";"Yes";"2154-12-31 23:59:59";"1348"
"000000417";"000005017";"2024-08-27 13:58:13";"Yes";"2154-12-31 23:59:59";"8501"
"000000418";"000005018";"2024-08-27 13:42:52";"Yes";"2154-12-31 23:59:59";""
"000000419";"000005019";"2024-08-27 13:58:13";"Yes";"2154-12-31 23:59:59";"8501"
"000000420";"000005020";"2024-08-27 13:58:13";"Yes";"2154-12-31 23:59:59";"8511"
"000000421";"000005021";"2024-08-27 13:58:14";"Yes";"2154-12-31 23:59:59";"2170"
"000000422";"000005022";"2024-08-27 13:42:54";"Yes";"2154-12-31 23:59:59";""
"000000423";"000005023";"2024-08-27 13:58:14";"Yes";"2154-12-31 23:59:59";"8501"
"000000424";"000005024";"2024-08-27 13:58:14";"Yes";"2154-12-31 23:59:59";"9300"
"000000425";"000005025";"2024-08-27 13:58:15";"Yes";"2154-12-31 23:59:59";"8540"
"000000426";"000005026";"2024-08-27 13:58:15";"Yes";"2154-12-31 23:59:59";"8530"
"000000427";"000005027";"2024-08-27 13:58:16";"Yes";"2154-12-31 23:59:59";"8830"
"000000428";"000005028";"2024-08-27 13:58:16";"Yes";"2154-12-31 23:59:59";"D-47638"
"000000429";"000005029";"2024-08-27 13:42:55";"Yes";"2154-12-31 23:59:59";""
"000000430";"000005030";"2024-08-27 13:42:55";"Yes";"2154-12-31 23:59:59";""
"000000431";"000005031";"2024-08-27 13:58:16";"Yes";"2154-12-31 23:59:59";"9160"
"000000432";"000005032";"2024-08-27 13:58:17";"Yes";"2154-12-31 23:59:59";"8870"
"000000433";"000005033";"2024-08-27 13:58:17";"Yes";"2154-12-31 23:59:59";"1910"
"000000434";"000005034";"2024-08-27 13:58:17";"Yes";"2154-12-31 23:59:59";"8531"
"000000435";"000005035";"2024-08-27 13:58:18";"Yes";"2154-12-31 23:59:59";"8553"
"000000436";"000005036";"2024-08-27 13:42:57";"Yes";"2154-12-31 23:59:59";""
"000000437";"000005037";"2024-08-27 13:58:18";"Yes";"2154-12-31 23:59:59";"25280"
"000000438";"000005038";"2024-08-27 13:58:18";"Yes";"2154-12-31 23:59:59";"8531"
"000000439";"000005039";"2024-08-27 13:58:19";"Yes";"2154-12-31 23:59:59";"2960"
"000000440";"000005040";"2024-08-27 13:42:58";"Yes";"2154-12-31 23:59:59";""
"000000441";"000005041";"2024-08-27 13:58:19";"Yes";"2154-12-31 23:59:59";"9770"
"000000442";"000005042";"2024-08-27 13:58:20";"Yes";"2154-12-31 23:59:59";"8500"
"000000443";"000005043";"2024-08-27 13:58:20";"Yes";"2154-12-31 23:59:59";"9120"
"000000444";"000005044";"2024-08-27 13:58:20";"Yes";"2154-12-31 23:59:59";"9690"
"000000445";"000005045";"2024-08-27 13:58:21";"Yes";"2154-12-31 23:59:59";"8560"
"000000446";"000005046";"2024-08-27 13:58:21";"Yes";"2154-12-31 23:59:59";"8570"
"000000447";"000005047";"2024-08-27 13:42:59";"Yes";"2154-12-31 23:59:59";""
"000000448";"000005048";"2024-08-27 13:42:59";"Yes";"2154-12-31 23:59:59";""
"000000449";"000005049";"2024-08-27 13:43:00";"Yes";"2154-12-31 23:59:59";""
"000000450";"000005050";"2024-08-27 13:58:21";"Yes";"2154-12-31 23:59:59";"8710"
"000000451";"000005051";"2024-08-27 13:58:22";"Yes";"2154-12-31 23:59:59";"3600"
"000000452";"000005052";"2024-08-27 13:58:22";"Yes";"2154-12-31 23:59:59";"2060"
"000000453";"000005053";"2024-08-27 13:58:23";"Yes";"2154-12-31 23:59:59";"60325"
"000000454";"000005054";"2024-08-27 13:58:23";"Yes";"2154-12-31 23:59:59";"4542 NM"
"000000455";"000005055";"2024-08-27 13:58:23";"Yes";"2154-12-31 23:59:59";"8570"
"000000456";"000005056";"2024-08-27 13:58:24";"Yes";"2154-12-31 23:59:59";"2952 CA"
"000000457";"000005057";"2024-08-27 13:58:24";"Yes";"2154-12-31 23:59:59";"1830"
"000000458";"000005058";"2024-08-27 13:58:24";"Yes";"2154-12-31 23:59:59";"8800"
"000000459";"000005059";"2024-08-27 13:43:02";"Yes";"2154-12-31 23:59:59";""
"000000460";"000005060";"2024-08-27 13:58:25";"Yes";"2154-12-31 23:59:59";"8500"
"000000461";"000005061";"2024-08-27 13:58:25";"Yes";"2154-12-31 23:59:59";"5741 TP"
"000000462";"000005062";"2024-08-27 13:58:26";"Yes";"2154-12-31 23:59:59";"8530"
"000000463";"000005063";"2024-08-27 13:58:26";"Yes";"2154-12-31 23:59:59";"8570"
"000000464";"000005064";"2024-08-27 13:58:26";"Yes";"2154-12-31 23:59:59";"3133 KV"
"000000465";"000005065";"2024-08-27 13:58:27";"Yes";"2154-12-31 23:59:59";"9800"
"000000466";"000005066";"2024-08-27 13:58:27";"Yes";"2154-12-31 23:59:59";"8830"
"000000467";"000002401";"2024-08-27 13:58:27";"Yes";"2154-12-31 23:59:59";"3703 AE"
"000000468";"000002402";"2024-08-27 13:58:28";"Yes";"2154-12-31 23:59:59";"1382 MN"
"000000469";"000002405";"2024-08-27 13:58:28";"Yes";"2154-12-31 23:59:59";"3821 CD"
"000000470";"000002408";"2024-08-27 13:58:29";"Yes";"2154-12-31 23:59:59";"2312 AT"
"000000471";"000002410";"2024-08-27 13:58:29";"Yes";"2154-12-31 23:59:59";"7548 XA"
"000002500";"000002300";"2025-02-05 12:25:50";"Yes";"2154-12-31 23:59:59";"8500"
"000002600";"000002500";"2024-09-10 13:19:11";"Yes";"2154-12-31 23:59:59";""
"000002700";"000002600";"2025-02-05 12:27:33";"Yes";"2154-12-31 23:59:59";"8000"
"000002700";"000003197";"2025-10-09 15:29:10";"No";"2154-12-31 23:59:59";"8820"
"000002800";"000002800";"2025-03-07 12:24:23";"Yes";"2154-12-31 23:59:59";""
"000003201";"000003197";"2025-10-09 15:29:10";"Yes";"2154-12-31 23:59:59";"8820"
"000003202";"000003197";"2025-10-09 15:29:10";"Yes";"2154-12-31 23:59:59";"8820"
"000003301";"000003500";"2025-04-09 10:17:27";"Yes";"2154-12-31 23:59:59";"9000"
"000003303";"000003503";"2025-04-09 10:34:35";"Yes";"2154-12-31 23:59:59";"9000"
