"PARTYNUMBER";"LOCATIONID";"VALIDFROM";"LEGISLATIONTYPE";"COUNTRYREGIONID";"DESCRIPTION";"ISSUEDATE";"ISSUER";"REGISTRATIONNUMBER";"SECTION";"TAXREGSTRATIONTYPE";"VALIDTO"
"000000001";"000000001";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0433.666.709";"";"Enterprise number";"2154-12-31 00:00:00"
"000000001";"000000001";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0433.666.709";"";"VAT";"2154-12-31 00:00:00"
"000000003";"000003197";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0474.603.875";"";"Enterprise number";"2018-03-30 00:00:00"
"000000003";"000003197";"2018-03-31 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0472.713.068";"";"Enterprise number";"2154-12-31 00:00:00"
"000000008";"000002895";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0761.103.372";"";"Enterprise number";"2154-12-31 00:00:00"
"000000008";"000002895";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0761.103.372";"";"VAT";"2154-12-31 00:00:00"
"000000018";"000002919";"2025-08-07 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0123456749";"";"VAT";"2154-12-31 00:00:00"
"000000400";"000005000";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0402.956.608";"";"Enterprise number";"2154-12-31 00:00:00"
"000000400";"000005000";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0402.956.608";"";"VAT";"2154-12-31 00:00:00"
"000000404";"000005004";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0407.249.154";"";"Enterprise number";"2154-12-31 00:00:00"
"000000404";"000005004";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0407.249.154";"";"VAT";"2154-12-31 00:00:00"
"000000405";"000005005";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0427.205.519";"";"Enterprise number";"2154-12-31 00:00:00"
"000000405";"000005005";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0427.205.519";"";"VAT";"2154-12-31 00:00:00"
